record_id,source_table,entity_text,entity_label,canonical_name,entity_id,start_char,end_char
707,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
707,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
709,theses,Centre for Earth Sciences,DEPARTMENT,Centre for Earth Sciences,CENTRE_FOR_EARTH_SCIENCES,,
709,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
709,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
710,theses,Bengaluru,GPE,Bengaluru,BENGALURU,71,80
710,theses,India,GPE,India,INDIA,81,86
710,theses,Civil Engineering,DEPARTMENT,Civil Engineering,CIVIL_ENGINEERING,,
710,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
711,theses,Computer Science and Automation,DEPARTMENT,Computer Science and Automation,COMPUTER_SCIENCE_AND_AUTOMATION,,
711,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
711,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
712,theses,Electrical Communication Engineering,DEPARTMENT,Electrical Communication Engineering,ELECTRICAL_COMMUNICATION_ENGINEERING,,
712,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
712,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
713,theses,Electrical Communication Engineering,DEPARTMENT,Electrical Communication Engineering,ELECTRICAL_COMMUNICATION_ENGINEERING,,
713,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
713,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
714,theses,Chemical Engineering,DEPARTMENT,Chemical Engineering,CHEMICAL_ENGINEERING,,
714,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
714,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
715,theses,Centre for Sustainable Technology,DEPARTMENT,Centre for Sustainable Technology,CENTRE_FOR_SUSTAINABLE_TECHNOLOGY,,
715,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
715,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
716,theses,Electrical Communication Engineering,DEPARTMENT,Electrical Communication Engineering,ELECTRICAL_COMMUNICATION_ENGINEERING,,
716,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
716,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
717,theses,Materials Research Centre,DEPARTMENT,Materials Research Centre,MATERIALS_RESEARCH_CENTRE,,
717,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
717,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
718,theses,Materials Research Centre,DEPARTMENT,Materials Research Centre,MATERIALS_RESEARCH_CENTRE,,
718,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
718,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
