Person_ID,Publication_ID
SRUTHI_SEKAR,PUB_000110
SANDIP_MONDAL,PUB_000111
V_VENKATARAMAN,PUB_000111
FARZAD_EBRAHIMI,PUB_000112
NAVID_FARAZMANDNIA,PUB_000112
MOHAMMAD_REZA_KOKABA,PUB_000112
VINYAS_MAHESH,PUB_000112
PALANI_BARATHI,PUB_000113
BALAMURUGAN_THIRUMALRAJ,PUB_000113
SHENMING_CHEN,PUB_000113
SUBRAMANIA_ANGAIAH,PUB_000113
D_VENKATRAMANAN,PUB_000114
VINOD_JOHN,PUB_000114
K_L_NAVANEET,PUB_000115
PRIYANKA_MANDIKAL,PUB_000115
MAYANK_AGARWAL,PUB_000115
R_VENKATESH_BABU,PUB_000115
ASHISH_PANWAR,PUB_000116
SORAV_BANSAL,PUB_000116
K_GOPINATH,PUB_000116
HARISH_KUMAR_CHOUDHARY,PUB_000117
RAJEEV_KUMAR,PUB_000117
SHITAL_PATANGRAO_PAWAR,PUB_000117
UTTANDARAMAN_SUNDARARAJ,PUB_000117
BALARAM_SAHOO,PUB_000117
SS_HEGDE,PUB_000118
PRASHANTHA_MURAHARI,PUB_000118
BRIAN_JEEVAN_FERNANDES,PUB_000118
R_VENKATESH,PUB_000118
K_RAMESH,PUB_000118
PRATEEKSHA_VARSHNEY,PUB_000119
YOGESH_SIMMHAN,PUB_000119
NITIN_KUMAR,PUB_000120
RAHUL_GUPTA,PUB_000120
HARSH_SONI,PUB_000120
SRIRAṀ_RAMASWAMY,PUB_000120
A_K_SOOD,PUB_000120
NAGANAND_YADATI,PUB_000121
MADHAV_NIMISHAKAVI,PUB_000121
PRATEEK_YADAV,PUB_000121
VIKRAM_NITIN,PUB_000121
ANAND_LOUIS,PUB_000121
ROSE_MARY_AUGUSTINE,PUB_000122
A_CHOCKALINGAM,PUB_000122
RANGARAJAN_BAKTHAVATSALAM,PUB_000123
ANUPAM_BISWAS,PUB_000123
MADHU_CHAKALI,PUB_000123
PRAKRITI_RANJAN_BANGAL,PUB_000123
BHUSHAN_P_KORE,PUB_000123
VIRENDRA_PARAB,PUB_000124
OPPILI_PRASAD,PUB_000124
SREELAL_PILLAI,PUB_000124
SANJIV_SAMBANDAN,PUB_000124
LAXMI_NARAYAN_MAHOUR,PUB_000125
HARISH_KUMAR_CHOUDHARY,PUB_000125
RAJEEV_KUMAR,PUB_000125
AV_ANUPAMA,PUB_000125
BALARAM_SAHOO,PUB_000125
SANGHEE_NAM,PUB_000126
SIMA_UMRAO,PUB_000126
SAEWOONG_OH,PUB_000126
KANG_HO_SHIN,PUB_000126
HO_SEOK_PARK,PUB_000126
NICHITH_CHANDRASEKARAN,PUB_000127
CHARLIE_OOMMEN,PUB_000127
V_R_SANAL_KUMAR,PUB_000127
ALEXANDER_LUKIN,PUB_000127
VICTOR_S_ABRUKOV,PUB_000127
DIPAK_KUMAR_KHATUA,PUB_000128
ANUPAM_MISHRA,PUB_000128
NAVEEN_KUMAR,PUB_000128
GOBINDA_DAS_ADHIKARY,PUB_000128
UMA_SHANKAR,PUB_000128
AISHWARYA_V_MENON,PUB_000129
GIRIDHAR_MADRAS,PUB_000129
SURYASARATHI_BOSE,PUB_000129
AMLAN_KAR,PUB_000130
SATYAM_SUWAS,PUB_000130
SATISH_V_KAILAS,PUB_000130
RAJEEV_KUMAR,PUB_000131
HARISH_KUMAR_CHOUDHARY,PUB_000131
AV_ANUPAMA,PUB_000131
AISHWARYA_V_MENON,PUB_000131
SHITAL_PATANGRAO_PAWAR,PUB_000131
K_SADA,PUB_000132
BASKAR_SENTHILKUMAR,PUB_000132
PRABEER_BARPANDA,PUB_000132
J_D_SOLER,PUB_000133
H_BEUTHER,PUB_000133
M_R_RUGEL,PUB_000133
Y_WANG,PUB_000133
PAUL_CLARK,PUB_000133
ASHUTOSH_MOHANTY,PUB_000134
DIPTIKANTA_SWAIN,PUB_000134
SHARADA_GOVINDA,PUB_000134
TAYUR_N_GURU_ROW,PUB_000134
D_D_SARMA,PUB_000134
AMAN_GUPTA,PUB_000135
RAJESH_K_KHATIRKAR,PUB_000135
AMIT_KUMAR,PUB_000135
KHUSHAHAL_THOOL,PUB_000135
NITISH_BIBHANSHU,PUB_000135
K_S_RAMESH,PUB_000136
M_SARAVANABHAVAN,PUB_000136
MADHU_RAJKUMAR,PUB_000136
DAVID_EDISON,PUB_000136
M_SEKAR,PUB_000136
VINYAS_MAHESH,PUB_000137
S_J_ATHUL,PUB_000137
DINESHKUMAR_HARURSAMPATH,PUB_000137
T_NGUYENTHOI,PUB_000137
SRAVAN_KUMAR_THIMMAPPA,PUB_000138
BRAHMA_RAJU_GOLLA,PUB_000138
VV_BHANU_PRASAD,PUB_000138
BHASKAR_MAJUMDAR,PUB_000138
BIKRAMJIT_BASU,PUB_000138
SRIRAṀ_RAMASWAMY,PUB_000139
RAHUL_GUPTA,PUB_000140
ADITYA_KANADE,PUB_000140
SHIRISH_SHEVADE,PUB_000140
N_R_DHINESHBABU,PUB_000141
SURYASARATHI_BOSE,PUB_000141
SHARDUL_BHUSARI,PUB_000142
VIDUSHI_SHARMA,PUB_000142
SURYASARATHI_BOSE,PUB_000142
BIKRAMJIT_BASU,PUB_000142
MANASA_PERIKALA,PUB_000143
ASHA_BHARDWAJ,PUB_000143
SN_X_MEDINA,PUB_000144
J_S_URQUHART,PUB_000144
SERGIO_A_DZIB,PUB_000144
A_BRUNTHALER,PUB_000144
BILL_COTTON,PUB_000144
SWEETY_ARORA,PUB_000145
NIKITA_KUMARI,PUB_000145
CHANDAN_SRIVASTAVA,PUB_000145
KETAN_BAJAJ,PUB_000146
P_ANBAZHAGAN,PUB_000146
AMLAN_KAR,PUB_000147
SATISH_V_KAILAS,PUB_000147
SATYAM_SUWAS,PUB_000147
ASHOK_MACHE,PUB_000148
ANINDYA_DEB,PUB_000148
NK_GUPTA,PUB_000148
ANANYO_MAITRA,PUB_000149
SRIRAṀ_RAMASWAMY,PUB_000149
DIVYA_D_ACHARI,PUB_000150
PS_RACHIPUDI,PUB_000150
SATISHKUMAR_R_NAIK,PUB_000150
RAMESH_KARUPPANNAN,PUB_000150
MAHADEVAPPA_Y_KARIDURAGANAVAR,PUB_000150
VINYAS_MAHESH,PUB_000151
S_J_ATHUL,PUB_000151
DINESHKUMAR_HARURSAMPATH,PUB_000151
MAR_LOJA,PUB_000151
T_NGUYENTHOI,PUB_000151
VIKRANT_V_JADHAV,PUB_000152
N_SINDHU,PUB_000152
ANNAPURNI_SUBRAMANIAM,PUB_000152
P_ANBAZHAGAN,PUB_000153
KETAN_BAJAJ,PUB_000153
KARANPREET_MATHARU,PUB_000153
SAYED_S_R_MOUSTAFA,PUB_000153
NASSIR_ALARIFI,PUB_000153
AMANUEL_GEBREKRSTOS,PUB_000154
GOUTAM_PRASANNA_KAR,PUB_000154
GIRIDHAR_MADRAS,PUB_000154
ASHOK_MISRA,PUB_000154
SURYASARATHI_BOSE,PUB_000154
MARK_D_MACKENZIE,PUB_000155
HAONAN_CHI,PUB_000155
MANOJ_VARMA,PUB_000155
PARAMA_PAL,PUB_000155
A_K_KAR,PUB_000155
S_SANGEETHA,PUB_000156
G_KRISHNAMURTHY,PUB_000156
M_RAGHAVAN,PUB_000156
BS_MURTY,PUB_000157
JIENWEI_YEH,PUB_000157
S_RANGANATHAN,PUB_000157
PP_BHATTACHARJEE,PUB_000157
LAKSHMI_ANNAMALAI,PUB_000158
ANIRBAN_CHAKRABORTY,PUB_000158
CHETAN_SINGH_THAKUR,PUB_000158
M_RAJASEKARAN,PUB_000159
K_G_AYAPPA,PUB_000159
AJEET_KUMAR,PUB_000160
AJAY_KUMAR_KALYANI,PUB_000160
RAJEEV_RANJAN,PUB_000160
KC_JAMES_RAJU,PUB_000160
JUNGHO_RYU,PUB_000160
AHMED_ALIYU,PUB_000161
CHANDAN_SRIVASTAVA,PUB_000161
VIKRANT_V_JADHAV,PUB_000162
N_SINDHU,PUB_000162
ANNAPURNI_SUBRAMANIAM,PUB_000162
NITHIN_K_PARAMBIL,PUB_000163
SUHASINI_GURURAJA,PUB_000163
MOUMIN_RUDRA,PUB_000164
SASWATA_HALDER,PUB_000164
SUJOY_SAHA,PUB_000164
ALO_DUTTA,PUB_000164
T_P_SINHA,PUB_000164
MEDHA_DANDU,PUB_000165
RABINDRA_BISWAS,PUB_000165
SARTHAK_DAS,PUB_000165
SANGEETH_KALLATT,PUB_000165
S_K_CHATTERJEE,PUB_000165
SANDEEP_KUMAR_KATARIA,PUB_000166
MOUSUMI_DAS,PUB_000166
GNANA_PRAVEENA_NETHALA,PUB_000167
RAVINDAR_TADI,PUB_000167
GANAPATHI_RAO_GAJULA,PUB_000167
P_V_PRAKASH_MADDURI,PUB_000167
AV_ANUPAMA,PUB_000167
ANUJ_BISHT,PUB_000168
LAILESH_KUMAR,PUB_000168
JANARDHANRAJ_SUBBURAJ,PUB_000168
G_JAGADEESH,PUB_000168
SATYAM_SUWAS,PUB_000168
ANANYA_PATRA,PUB_000169
V_PRASAD,PUB_000169
ANJU_M_PILLAI,PUB_000170
A_RAJENDRA,PUB_000170
ANAND_SHARMA,PUB_000170
S_SAMPATH,PUB_000170
IONUTDRAGOS_POTIRNICHE,PUB_000171
SUMILAN_BANERJEE,PUB_000171
EHUD_ALTMAN,PUB_000171
RAMESH_NAIDU_JENJETI,PUB_000172
RAJAT_KUMAR,PUB_000172
S_SAMPATH,PUB_000172
KUMARI_SUSHMITA,PUB_000173
AISHWARYA_V_MENON,PUB_000173
SHUBHAM_SHARMA,PUB_000173
A_C_ABHYANKAR,PUB_000173
GIRIDHAR_MADRAS,PUB_000173
AVANISH_MISHRA,PUB_000174
SWANTI_SATSANGI,PUB_000174
ARUNKUMAR_CHITTETH_RAJAN,PUB_000174
HIROSHI_MIZUSEKI,PUB_000174
KWANGRYEOL_LEE,PUB_000174
GAGAN_K_GOYAL,PUB_000175
SHRIPARNA_MUKHERJEE,PUB_000175
RAMESH_CHANDRA_MALLIK,PUB_000175
SATISH_VITTA,PUB_000175
I_SAMAJDAR,PUB_000175
AMANUEL_GEBREKRSTOS,PUB_000176
GIRIDHAR_MADRAS,PUB_000176
SURYASARATHI_BOSE,PUB_000176
KAPIL_UPAMANYU,PUB_000177
G_NARAYANAN,PUB_000177
NAGARAJAN_PADMAVATHY,PUB_000178
