Institution_ID,Publication_ID
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000230
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000231
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000232
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000233
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000234
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000235
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000236
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000237
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000238
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000239
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000240
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000241
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000242
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000243
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000244
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000245
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000246
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000247
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000248
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000249
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000250
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000251
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000252
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000253
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000254
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000255
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000256
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000257
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000258
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000259
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000260
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000261
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000262
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000263
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000264
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000265
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000266
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000267
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000268
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000269
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000270
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000271
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000272
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000273
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000274
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000275
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000276
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000277
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000278
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000279
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000280
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000281
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000282
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000283
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000284
