Applicant_ID,Patent_ID
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00261
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00262
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00263
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00264
WIPRO_LIMITED,PAT_00265
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00265
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00266
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00267
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00268
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00269
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00270
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00271
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00272
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00273
MIISKY_TECHNOVATION_PRIVATE_LIMITED,PAT_00273
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00274
SAMSUNG_ELECTRONICS_CO_LTD,PAT_00275
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00275
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00276
MYNVAX_PRIVATE_LIMITED,PAT_00276
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00277
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00278
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00279
MIISKY_TECHNOVATION_PRIVATE_LIMITED,PAT_00279
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00280
NATIONAL_INSTITUTE_OF_TECHNOLOGY,PAT_00280
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00281
INDIAN_INSTITUTE_OF_SCIENCE_IISC,PAT_00282
RAJIV_GANDHI_UNIVERSITY_OF_HEALTH_SCIENCES_RGUHS,PAT_00282
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00283
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00284
INDIAN_ASSOCIATION_FOR_THE_CULTIVATION_OF_SCIENCE,PAT_00284
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00285
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00286
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00287
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00288
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00289
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00290
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00291
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00292
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00293
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00294
INDIAN_INSTITUTE_OF_SCIENCE_IISC,PAT_00295
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00296
INDIAN_SPACE_RESEARCH_ORGANIZATION,PAT_00296
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00297
TATA_STEEL_LIMITED,PAT_00298
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00298
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00299
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00300
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00301
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00302
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00303
FAURECIA_INDIA_PRIVATE_LIMITED,PAT_00303
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00304
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00305
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00306
INSTITUTE_FOR_STEM_CELL_SCIENCE_AND_REGENERATIVE_MEDICINE,PAT_00306
POST_GRADUATE_INSTITUTE_OF_MEDICAL_EDUCATION_RESEARCH_CHANDIGARH,PAT_00306
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00307
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00308
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00309
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00310
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00311
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00312
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00313
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00314
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00315
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00316
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00317
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00318
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00319
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00320
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00321
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00322
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00323
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00324
CENTRAL_POWER_RESEARCH_INSTITUTE,PAT_00325
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00325
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00326
TRIVENI_TURBINE_LIMITED,PAT_00327
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00327
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00328
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00329
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00330
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00331
FAURECIA_INDIA_PRIVATE_LIMITED,PAT_00331
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00332
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00333
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00334
DEPARTMENT_OF_BIOTECHNOLOGY,PAT_00334
M_S_RAMAIAH_UNIVERSITY_OF_APPLIED_SCIENCES,PAT_00334
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00335
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00336
TATA_STEEL_LIMITED,PAT_00337
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00337
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00338
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00339
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00340
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00341
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00342
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00343
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00344
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00345
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00346
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00347
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00348
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00349
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00350
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00351
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00352
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00353
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00354
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00355
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00356
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00357
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00358
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00359
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00360
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00361
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00362
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00363
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00364
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00365
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00366
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00367
IHUB_FOR_ROBOTICS_AND_AUTONOMOUS_SYSTEMS_INNOVATION_FOUNDATION,PAT_00368
INDIAN_INSTITUTE_OF_SCIENCE_BANGLORE,PAT_00368
MINISTRY_OF_HEAVY_INDUSTRIES_MHIGOVERNMENT_OF_INDIA,PAT_00368
INDIAN_INSTITUTE_OF_SCIENCE_IISC,PAT_00369
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00370
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00371
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00372
SEMICONDUCTOR_LABORATORY_SCL,PAT_00372
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00373
FIBROHEAL_WOUNDCARE_PVT_LTD,PAT_00373
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00374
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00375
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00376
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00377
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00378
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00379
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00380
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00381
TATA_CONSULTANCY_SERVICES,PAT_00381
INDIAN_INSTITUTE_OF_SCIENCE_IISC,PAT_00382
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00383
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00384
UNIVERSITY_OF_MYSORE,PAT_00384
CHAIRMAN_DEFENCE_RESEARCH_DEVELOPMENT_ORGANISATION_DRDO,PAT_00385
THE_REGISTRAR_INDIAN_INSTITUTE_OF_SCIENCE,PAT_00385
CHAIRMAN_DEFENCE_RESEARCH_DEVELOPMENT_ORGANISATION_DRDO,PAT_00386
THE_REGISTRAR_INDIAN_INSTITUTE_OF_SCIENCE,PAT_00386
CHAIRMAN_DEFENCE_RESEARCH_DEVELOPMENT_ORGANISATION_DRDO,PAT_00387
THE_REGISTRAR_INDIAN_INSTITUTE_OF_SCIENCE,PAT_00387
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00388
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00389
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00390
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00391
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00392
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00393
