Department_ID,Thesis_ID
MECHANICAL_ENGINEERING,444746
COMPUTER_SCIENCE_AND_AUTOMATION,444735
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,455232
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,455225
MATERIALS_ENGINEERING,455235
MATERIALS_ENGINEERING,455226
CIVIL_ENGINEERING,455207
CIVIL_ENGINEERING,455195
ELECTRONIC_SYSTEMS_ENGINEERING,455123
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,455127
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,455130
AEROSPACE_ENGINEERING,455133
CIVIL_ENGINEERING,455134
PRODUCT_DESIGN_AND_MANUFACTURING,455132
AEROSPACE_ENGINEERING,455136
COMPUTER_SCIENCE_AND_AUTOMATION,455145
ELECTRONIC_SYSTEMS_ENGINEERING,455124
CIVIL_ENGINEERING,455128
CIVIL_ENGINEERING,455146
ELECTRICAL_ENGINEERING,455142
CIVIL_ENGINEERING,455144
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,455143
CIVIL_ENGINEERING,455219
CIVIL_ENGINEERING,455234
ELECTRONIC_SYSTEMS_ENGINEERING,455231
AEROSPACE_ENGINEERING,455233
ELECTRONIC_SYSTEMS_ENGINEERING,455237
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,455310
ELECTRONIC_SYSTEMS_ENGINEERING,455291
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,455279
AEROSPACE_ENGINEERING,455298
AEROSPACE_ENGINEERING,455299
DATA_SCIENCE,455286
MATERIALS_ENGINEERING,455311
ELECTRONIC_SYSTEMS_ENGINEERING,455300
ELECTRICAL_ENGINEERING,455309
AEROSPACE_ENGINEERING,455276
COMPUTER_SCIENCE_AND_AUTOMATION,455274
MATERIALS_ENGINEERING,455308
ELECTRICAL_ENGINEERING,455278
MECHANICAL_ENGINEERING,454889
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,575847
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,454867
DATA_SCIENCE,455184
PRODUCT_DESIGN_AND_MANUFACTURING,455186
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,453927
MATERIALS_ENGINEERING,453923
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,453931
DATA_SCIENCE,453922
ELECTRONIC_SYSTEMS_ENGINEERING,453933
PRODUCT_DESIGN_AND_MANUFACTURING,453925
ELECTRONIC_SYSTEMS_ENGINEERING,453916
ELECTRONIC_SYSTEMS_ENGINEERING,453924
MECHANICAL_ENGINEERING,453935
ELECTRICAL_ENGINEERING,453928
CIVIL_ENGINEERING,453915
DATA_SCIENCE,453920
CHEMICAL_ENGINEERING,453917
MECHANICAL_ENGINEERING,453930
ELECTRICAL_ENGINEERING,453919
COMPUTER_SCIENCE_AND_AUTOMATION,453926
AEROSPACE_ENGINEERING,454108
ELECTRICAL_ENGINEERING,454127
PRODUCT_DESIGN_AND_MANUFACTURING,454097
AEROSPACE_ENGINEERING,454100
AEROSPACE_ENGINEERING,454114
CIVIL_ENGINEERING,454145
MATERIALS_ENGINEERING,454098
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,454144
MATERIALS_ENGINEERING,454155
ENERGY_RESEARCH,454198
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,454161
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,454202
COMPUTER_SCIENCE_AND_AUTOMATION,454160
MATERIALS_ENGINEERING,454183
ELECTRICAL_ENGINEERING,454158
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,454173
CIVIL_ENGINEERING,454189
NANO_SCIENCE_AND_ENGINEERING,454197
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,456058
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,576148
ELECTRICAL_ENGINEERING,456389
ELECTRICAL_ENGINEERING,429790
MECHANICAL_ENGINEERING,440464
ELECTRICAL_ENGINEERING,511692
ELECTRICAL_ENGINEERING,607051
MATERIALS_ENGINEERING,506858
MATERIALS_ENGINEERING,506865
DATA_SCIENCE,507497
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,507495
MATERIALS_ENGINEERING,507504
MATERIALS_ENGINEERING,507506
DATA_SCIENCE,507463
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,507882
DATA_SCIENCE,507496
DATA_SCIENCE,507884
ELECTRONIC_SYSTEMS_ENGINEERING,507881
ELECTRONIC_SYSTEMS_ENGINEERING,507877
ELECTRONIC_SYSTEMS_ENGINEERING,507876
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,507490
CIVIL_ENGINEERING,507498
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,507471
CIVIL_ENGINEERING,507493
MECHANICAL_ENGINEERING,507508
MATERIALS_ENGINEERING,507873
CIVIL_ENGINEERING,483820
AEROSPACE_ENGINEERING,483822
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,511826
WATER_RESEARCH,511934
PRODUCT_DESIGN_AND_MANUFACTURING,572903
MECHANICAL_ENGINEERING,573325
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,573137
PRODUCT_DESIGN_AND_MANUFACTURING,573327
MECHANICAL_ENGINEERING,573329
ELECTRONIC_SYSTEMS_ENGINEERING,573330
CHEMICAL_ENGINEERING,572896
MATERIALS_ENGINEERING,573333
MATERIALS_ENGINEERING,573332
DATA_SCIENCE,573331
PRODUCT_DESIGN_AND_MANUFACTURING,575096
MECHANICAL_ENGINEERING,579670
AEROSPACE_ENGINEERING,579671
CHEMICAL_ENGINEERING,579226
ELECTRICAL_ENGINEERING,579223
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,575841
COMPUTER_SCIENCE_AND_AUTOMATION,575846
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,644461
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,577947
MATERIALS_ENGINEERING,577952
CIVIL_ENGINEERING,577943
MATERIALS_ENGINEERING,577946
MATERIALS_ENGINEERING,577945
COMPUTER_SCIENCE_AND_AUTOMATION,577948
ELECTRICAL_ENGINEERING,575692
MECHANICAL_ENGINEERING,575681
MATERIALS_ENGINEERING,575683
CHEMICAL_ENGINEERING,575691
CHEMICAL_ENGINEERING,575695
COMPUTER_SCIENCE_AND_AUTOMATION,576007
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,576006
CHEMICAL_ENGINEERING,576009
DATA_SCIENCE,576003
AEROSPACE_ENGINEERING,576150
CIVIL_ENGINEERING,576149
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,576147
ENERGY_RESEARCH,576467
ELECTRONIC_SYSTEMS_ENGINEERING,576465
MATERIALS_ENGINEERING,576469
CIVIL_ENGINEERING,576468
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,576531
COMPUTER_SCIENCE_AND_AUTOMATION,576533
AEROSPACE_ENGINEERING,576628
AEROSPACE_ENGINEERING,576644
ELECTRICAL_ENGINEERING,576643
MECHANICAL_ENGINEERING,576645
MATERIALS_ENGINEERING,576672
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,576727
MECHANICAL_ENGINEERING,576242
MATERIALS_ENGINEERING,576780
ELECTRICAL_ENGINEERING,612572
CIVIL_ENGINEERING,612571
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,612569
ELECTRICAL_ENGINEERING,613202
CHEMICAL_ENGINEERING,613196
ELECTRICAL_ENGINEERING,613191
ELECTRICAL_ENGINEERING,613194
MATERIALS_ENGINEERING,613193
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,613192
CHEMICAL_ENGINEERING,613195
MATERIALS_ENGINEERING,613203
ELECTRICAL_ENGINEERING,613197
CIVIL_ENGINEERING,612901
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,612899
ELECTRONIC_SYSTEMS_ENGINEERING,612903
INSTRUMENTATION_AND_APPLIED_PHYSICS,612888
ELECTRICAL_ENGINEERING,612902
NANO_SCIENCE_AND_ENGINEERING,612895
CIVIL_ENGINEERING,612898
COMPUTER_SCIENCE_AND_AUTOMATION,576764
MATERIALS_ENGINEERING,576775
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,576759
PRODUCT_DESIGN_AND_MANUFACTURING,576765
MATERIALS_ENGINEERING,612478
CIVIL_ENGINEERING,612479
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,613545
INSTRUMENTATION_AND_APPLIED_PHYSICS,613542
CHEMICAL_ENGINEERING,613777
NANO_SCIENCE_AND_ENGINEERING,606448
CHEMICAL_ENGINEERING,613902
ENERGY_RESEARCH,613843
ELECTRICAL_ENGINEERING,507499
MATERIALS_ENGINEERING,614030
DATA_SCIENCE,507872
CYBER_PHYSICAL_SYSTEMS,507879
MATERIALS_ENGINEERING,614032
AEROSPACE_ENGINEERING,614034
MATERIALS_ENGINEERING,507484
CIVIL_ENGINEERING,507875
COMPUTER_SCIENCE_AND_AUTOMATION,507883
CIVIL_ENGINEERING,614027
CIVIL_ENGINEERING,614024
CHEMICAL_ENGINEERING,613770
PRODUCT_DESIGN_AND_MANUFACTURING,613892
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,613543
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,607050
MATERIALS_ENGINEERING,614023
AEROSPACE_ENGINEERING,483821
MATERIALS_ENGINEERING,613384
EARTH_SCIENCES,613386
CIVIL_ENGINEERING,613385
COMPUTER_SCIENCE_AND_AUTOMATION,613389
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,612242
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,612247
CHEMICAL_ENGINEERING,612770
ENERGY_RESEARCH,612774
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,620456
MATERIALS_ENGINEERING,620370
MATERIALS_ENGINEERING,620369
ELECTRICAL_ENGINEERING,620399
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,620458
COMPUTER_SCIENCE_AND_AUTOMATION,620453
MATERIALS_ENGINEERING,620365
PRODUCT_DESIGN_AND_MANUFACTURING,620398
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,620457
ELECTRONIC_SYSTEMS_ENGINEERING,620455
ELECTRONIC_SYSTEMS_ENGINEERING,572890
CIVIL_ENGINEERING,573323
MECHANICAL_ENGINEERING,573328
AEROSPACE_ENGINEERING,573365
DATA_SCIENCE,573364
