Person_ID,Patent_ID
ANAND_M_SHIVAPUJI,PAT_00171
SHIRISH_KUMAR_SHARMA,PAT_00171
KHAN_AFFAN,PAT_00172
HANDRAL_POORNAKANTA,PAT_00172
BHANDARI_C_S_DARSHAN,PAT_00172
RANGARAJAN_RAMSHARAN,PAT_00172
SHAMRAO,PAT_00172
KUMAR_SUNIL,PAT_00173
BISWAS_SUBHA,PAT_00173
KALIGINEDI_VEERABHADRARAO,PAT_00173
THOMAS_ANOOP,PAT_00173
D_MEENA,PAT_00174
THODIYIL_SARATH_KUNDIL,PAT_00174
FRANCIS_FREDY,PAT_00174
TALABATTULA_SRINIVAS,PAT_00174
ABHA_MISRA,PAT_00175
PRAVEEN_KUMAR,PAT_00175
KRISHNAKUMAR_V_P,PAT_00175
SRINIVASARAO_A_SHIVASHANKAR,PAT_00176
RUDRA_PRATAP,PAT_00176
NAGENDRA_PRATAP_SINGH,PAT_00176
ABHRA_ROY_CHOWDHURY,PAT_00177
PRATYAKSH_PRABHAV_RAO,PAT_00177
JATIN,PAT_00178
MAYANK_SHRIVASTAVA,PAT_00178
SELVARAJA_SHANKAR_KUMAR,PAT_00179
NAMBIAR_SIDDHARTH,PAT_00179
NEHA_PADDILLAYA,PAT_00180
SUYOG_V_MAHULKAR,PAT_00180
JAYWANT_H_ARAKERI,PAT_00180
NAMRATA_GUNDIAH,PAT_00180
JOGESH_CHANDRA_DASH,PAT_00181
DEBDEEP_SARKAR,PAT_00181
MANISH_ARORA,PAT_00182
ROHIT_SAI_KODAM,PAT_00182
NEHA_N,PAT_00182
KHATUA_VIVEK,PAT_00183
ANANTHASURESH_GONDI_KONDAIAH,PAT_00183
GURUMURTHY_BALAN,PAT_00183
TIWARI_VIVEK,PAT_00184
BHAT_VIVEK_NAGENDRA,PAT_00184
THOMAS_ASHA_SWEETY,PAT_00184
NAIR_NIKILA,PAT_00185
A_V_AKSHAYA,PAT_00185
ANANTHASURESH_GONDI_KONDAIAH,PAT_00185
JOSEPH_JOSE,PAT_00185
CHAKRAPANI_HARINATH,PAT_00186
